"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Age brackets","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count"
"Age 0 to 4","5.4","3,232,055","7.0","385,210","6.7","160,250","14.6","250,755","4.8","2,353,100","6.6","82,740"
"Age 5 to 9","5.9","3,524,635","7.7","423,030","7.7","185,405","14.1","242,225","5.3","2,581,590","7.4","92,385"
"Age 10 to 14","6.0","3,596,015","7.7","424,020","8.7","209,990","12.8","220,435","5.4","2,648,470","7.4","93,100"
"Age 15 to 17","3.4","2,039,535","4.3","239,840","5.1","123,610","6.4","110,000","3.1","1,513,760","4.2","52,325"
"Age 18 to 24","8.3","4,957,265","10.7","587,990","11.0","263,820","12.6","216,045","7.7","3,763,395","10.0","126,015"
"Age 25 to 29","6.5","3,901,735","7.5","416,165","7.1","170,665","7.8","133,475","6.3","3,081,335","8.0","100,095"
"Age 30 to 34","7.0","4,148,785","8.8","485,790","7.1","170,980","7.1","122,670","6.7","3,253,430","9.2","115,915"
"Age 35 to 39","6.7","3,981,630","9.4","518,205","7.3","175,270","5.8","98,975","6.3","3,070,270","9.5","118,910"
"Age 40 to 44","6.3","3,755,770","8.9","490,145","7.5","180,225","4.5","77,590","5.9","2,896,810","8.8","111,000"
"Age 45 to 49","6.4","3,788,730","7.3","400,875","7.1","170,210","3.6","61,955","6.3","3,063,945","7.3","91,745"
"Age 50 to 54","6.9","4,123,455","5.7","312,670","7.5","179,790","3.4","58,740","7.2","3,496,095","6.1","76,160"
"Age 55 to 59","6.8","4,029,040","4.1","223,880","6.7","160,680","2.8","48,725","7.3","3,536,480","4.7","59,275"
"Age 60 to 64","5.8","3,455,580","3.5","191,800","4.3","102,850","1.7","30,005","6.3","3,085,160","3.6","45,765"
"Age 65 to 69","4.9","2,945,140","2.8","156,590","2.2","52,675","1.0","17,175","5.5","2,684,405","2.7","34,295"
"Age 70 to 74","5.0","2,977,975","1.9","105,740","1.3","30,530","0.7","11,500","5.8","2,805,995","1.9","24,210"
"Age 75 to 79","3.6","2,170,265","1.2","65,480","1.1","26,150","0.5","8,045","4.2","2,055,970","1.2","14,620"
"Age 80 to 84","2.5","1,515,085","0.9","50,810","1.1","25,300","0.3","4,910","2.9","1,424,665","0.7","9,400"
"Age 85 and over","2.4","1,454,740","0.7","37,205","0.9","20,880","0.3","4,650","2.8","1,384,325","0.6","7,680"
